"Force","Voltage","Acceleration1","Acceleration2","Acceleration3","Fs",
0.14835,-4.7607e-05,-0.0013171,0.0066319,0.0042617,400,
0.10741,-6.2256e-05,0.0020345,0.0038427,0.00010774,,
0.014566,-4.5166e-05,0.0011407,7.1826e-05,0.0039025,,
-0.04046,-3.9063e-05,0.0092432,-0.0011971,-0.0038188,,
0.096294,-3.9063e-05,0.004798,-0.00062249,0.0014365,,
0.13853,-3.9063e-05,0.00038807,0.0023703,0.0043574,,
0.22167,-3.7842e-05,0.0010584,0.006177,7.1826e-05,,
0.27146,-3.9063e-05,-0.0062798,0.0058658,0.0064404,,
0.14695,-3.9063e-05,-0.0022579,0.0065003,0.0034836,,
0.10002,-3.54e-05,0.0015993,0.0021189,0.0010534,,
0.010681,-3.6621e-05,-0.0017052,0.0014605,0.0045011,,
-0.044074,-4.1504e-05,0.0064444,-0.0010056,-0.0013886,,
0.098776,-6.1035e-05,0.0018228,-0.00027533,0.00022745,,
0.13654,-5.3711e-05,-0.00049391,0.0030167,0.0050518,,
0.21989,-3.1738e-05,0.00074087,0.005363,0.00062249,,
0.26919,-3.418e-05,-0.0041159,0.0056982,0.0065242,,
0.14425,-5.6152e-05,-0.00063503,0.0055545,0.0050996,,
0.094514,-4.6387e-05,0.0016229,0.0036631,0.0004549,,
0.010897,-5.7373e-05,0.00038807,0.002059,0.0042377,,
-0.041215,-5.127e-05,0.0053037,-0.00031125,-0.0024181,,
0.089713,-3.6621e-05,0.0031516,-0.0010534,0.00027533,,
0.13217,-5.3711e-05,-0.0015993,0.0026336,0.0036272,,
0.21891,-5.3711e-05,0.00062327,0.0042617,0.00031125,,
0.26752,-3.9063e-05,-0.0065385,0.0062608,0.006177,,
0.13875,-4.7607e-05,-0.0016699,0.0051595,0.0039983,,
0.097859,-5.4932e-05,0.00087023,0.003292,-0.0011013,,
0.0078762,-5.127e-05,-0.00021168,0.0007422,0.003292,,
-0.048174,-6.1035e-05,0.0080437,-0.0016999,-0.0048363,,
0.09063,-4.7607e-05,0.0044452,-0.002466,-0.00051475,,
0.1326,-5.249e-05,-0.0002352,0.0017597,0.0034716,,
0.21266,-4.8828e-05,0.0017169,0.0040941,-7.1826e-05,,
