"Force","Voltage","Acceleration1","Acceleration2","Acceleration3","Fs",
-0.01845,9.7656e-06,0.00075263,-0.0023463,0.0028252,400,
-0.014134,4.8828e-06,0.0033398,0.00098162,-0.0044293,,
0.07682,4.8828e-06,-0.006021,0.0026815,0.0010295,,
0.0087393,1.9531e-05,-0.0042571,0.0028132,0.0024301,,
0.014673,7.3242e-06,0.00077615,0.00014365,-0.0011253,,
-0.003992,1.9531e-05,-0.0024225,-0.00011971,0.0036871,,
-0.088796,1.5869e-05,0.0018816,0.00025139,-0.0022984,,
-0.019744,1.709e-05,-7.0559e-05,-0.0009098,-0.0033998,,
-0.022226,8.5449e-06,-0.0025636,-0.00038307,-0.0002873,,
-0.014997,6.1035e-06,0.0030576,-0.00052672,-0.0046448,,
0.074608,7.3242e-06,-0.00063503,-0.00035913,0.0019393,,
0.0082538,1.8311e-05,-0.0002352,0.0016759,0.0041539,,
0.016993,8.5449e-06,0.00096431,0.0022386,-0.0011013,,
0.0051789,-6.1035e-06,-0.004798,0.0031723,0.0027294,,
-0.088041,7.3242e-06,-0.00079967,0.0039744,-0.00014365,,
-0.015806,-2.4414e-06,0.0023049,0.00044293,-0.0028012,,
-0.018558,1.4648e-05,1.176e-05,-0.0024181,0.0029928,,
-0.01586,1.2207e-05,0.0046804,-0.0012689,-0.0030885,,
0.075201,9.7656e-06,-0.0042335,0.00057461,0.0014365,,
0.014458,7.3242e-06,-0.0033868,0.0037589,0.0023224,,
0.019097,1.3428e-05,-0.0017757,0.004118,-0.0036272,,
0.0035065,1.2207e-05,-0.0047863,0.0028132,0.0026217,,
-0.08858,1.2207e-05,0.0031164,0,-0.002083,,
-0.016831,1.4648e-05,0.006021,-0.0032322,-0.0021548,,
-0.015752,1.4648e-05,0.0010349,-0.0021069,0.0027054,,
-0.010412,2.6855e-05,0.0036456,0.00023942,-0.0027054,,
0.083941,1.2207e-05,-0.0029635,0.0018076,0.00058658,,
0.018234,1.4648e-05,-2.352e-05,0.003304,0.0011971,,
0.021255,2.4414e-05,0.005339,-5.9855e-05,0.00047884,,
0.0086314,1.9531e-05,-0.0014935,-0.0011133,0.0044412,,
-0.080057,1.2207e-05,0.005433,0.00040701,-0.00057461,,
-0.0094946,1.709e-05,0.0034104,-0.00011971,-0.00088585,,
-0.0089551,1.4648e-05,-0.00056447,0.002466,0.0044053,,
-0.0048012,2.4414e-05,0.0063738,0.0026217,-0.0027294,,
0.081351,2.6855e-05,0.0016934,0.00052672,0.0013886,,
0.019097,2.9297e-05,0.0030223,0.0012091,0.0042377,,
0.025894,2.6855e-05,0.0031046,0.0016041,0.00022745,,
0.010142,2.6855e-05,-0.0029164,0.001221,0.0058419,,
-0.072936,1.4648e-05,0.00044687,0.0016161,-0.00035913,,
-0.0086314,9.7656e-06,0.0035985,-0.00019154,-0.00034716,,
-0.0073367,1.0986e-05,0.0028459,-0.0024181,0.005794,,
-0.0086314,2.1973e-05,0.0093608,-0.0010415,0.00088585,,
0.088742,9.7656e-06,0.00044687,-0.00038307,0.0039983,,
0.023089,9.7656e-06,-0.0018816,0.0033998,0.0054109,,
0.025894,1.709e-05,-0.0016464,0.0034716,-0.00050278,,
0.015644,6.1035e-06,-0.0018463,0.0010534,0.0043814,,
-0.07887,3.418e-05,0.00568,-0.0015562,0.0015323,,
-0.01025,2.6855e-05,0.0056682,-0.0040462,0.00098162,,
-0.0067973,1.4648e-05,0.0017405,-0.0030167,0.0032322,,
-0.0041539,1.709e-05,0.0040924,-0.0011253,-0.0026097,,
0.086422,1.9531e-05,-0.0033868,0.0016999,0.0014365,,
0.024492,2.8076e-05,-0.00069383,0.0028012,0.0036152,,
0.027621,7.3242e-06,0.0033868,0.00067038,-0.0002873,,
0.016346,2.4414e-06,4.7039e-05,-0.001245,0.0056982,,
-0.075741,7.3242e-06,0.0038572,-0.0016999,-0.00041899,,
-0.010304,1.5869e-05,0.0034221,-0.00064643,-0.0023822,,
-0.0083078,1.4648e-05,-0.0021403,0.0010774,0.0027294,,
-0.0059341,2.6855e-05,0.0035044,-4.7884e-05,-0.0034716,,
0.07914,3.0518e-05,0.0017169,-0.0021069,0.0017478,,
0.019421,2.1973e-05,-0.0010349,-0.0010056,0.0043455,,
0.020446,1.4648e-05,0.0028812,-0.0002873,-0.00038307,,
0.0072828,2.6855e-05,-0.0048451,-0.00021548,0.0039025,,
-0.0827,2.1973e-05,-0.0001176,0.00071826,-0.0020111,,
-0.015644,1.3428e-05,0.0018581,-0.002071,-0.0036033,,
-0.016939,2.9297e-05,0.0014817,-0.0029209,0.0019273,,
-0.017155,2.4414e-05,0.0064914,-0.0023822,-0.0039265,,
0.078007,2.5635e-05,-0.0011407,-0.00086191,-0.0014605,,
0.012354,1.9531e-05,-0.0024108,0.0036033,0.00020351,,
0.018342,4.8828e-06,-0.0039278,0.0028012,-0.0049321,,
0.0072288,-1.2207e-05,-0.0038807,0.0004549,0.00026336,,
-0.081891,-4.8828e-06,0.0044805,-0.0025139,-0.00093374,,
-0.01845,9.7656e-06,0.0052331,-0.0060932,-0.002083,,
-0.015105,4.8828e-06,0.00030576,-0.0048842,0.001245,,
-0.012138,7.3242e-06,0.0013053,-0.00021548,-0.0046208,,
